Cadillac,CTS-V,259,1404
Subaru,Forester,150,1591
Jaguar,S-Type,259,5354
Dodge,Ram 2500,165,5902
Pontiac,Gemini,109,2868
Buick,Regal,254,3281
Chevrolet,Tahoe,202,7776
Isuzu,Rodeo,141,7592
Chevrolet,Express 3500,127,6088
Chevrolet,1500,241,4162
Nissan,Xterra,280,4286
Subaru,Outback,298,1989
Ford,Econoline E150,147,3277
Mazda,626,91,7238
Toyota,Xtra,93,7138
Ford,GT,176,5241
Ford,Falcon,236,5903
Hyundai,Sonata,131,2736
Suzuki,Sidekick,287,3464
Hyundai,Santa Fe,142,4870
Kia,Rondo,240,909
GMC,Yukon XL 2500,114,3087
Volkswagen,Jetta,148,5212
Lincoln,Town Car,190,5779
Toyota,4Runner,115,1420
Hyundai,Elantra,116,2177
Ford,E150,293,1783
Mazda,Mazdaspeed 3,173,6676
Mitsubishi,Eclipse,247,6967
Mazda,B-Series,128,3300
Mitsubishi,Cordia,91,2450
Chevrolet,Suburban 1500,120,1581
Dodge,Ram 3500,135,2046
Lexus,ES,142,1104
Toyota,Tacoma Xtra,271,6070
Chrysler,Voyager,126,3337
Ford,Bronco,95,1277
Mercedes-Benz,SLS AMG,108,3703
Dodge,Viper,234,7762
Mercury,Grand Marquis,183,4894
Volkswagen,New Beetle,204,7965
Dodge,Shadow,255,6336
GMC,Yukon XL 1500,226,1629
Ford,Ranger,118,6988
Chevrolet,S10,242,2062
Ford,E-Series,245,5409
Lexus,GS,161,6299
Chevrolet,Avalanche,198,2107
Ford,Bronco,182,5783
Land Rover,Range Rover Sport,97,1478
Mitsubishi,Endeavor,169,5868
Ford,Ranger,211,2857
Honda,S2000,259,3378
Ford,Thunderbird,162,7414
Chevrolet,Silverado 3500,110,4397
Toyota,Matrix,284,1964
Pontiac,Firefly,212,7836
Dodge,Dakota,158,4658
Hummer,H2 SUT,220,4687
GMC,Envoy XL,236,2861
Pontiac,Grand Prix,107,4589
Nissan,370Z,292,1400
Chevrolet,Citation,215,1645
Mitsubishi,3000GT,237,5576
Mitsubishi,Outlander,298,3916
Ford,Escort,156,5572
Oldsmobile,Bravada,246,4590
Nissan,280ZX,93,5903
Maserati,GranSport,157,1909
Suzuki,Grand Vitara,187,2687
Pontiac,Grand Am,285,6743
Jeep,Liberty,261,7675
Toyota,Corolla,116,2358
Dodge,Charger,175,3889
Ford,Escape,158,6867
Infiniti,Q,119,7915
Jaguar,XK,221,3455
Mitsubishi,Mirage,213,2657
Nissan,Pathfinder,112,7858
GMC,Envoy XL,204,7340
Maserati,Quattroporte,173,3117
Toyota,Prius,104,2618
Lincoln,MKZ,271,4109
Subaru,Tribeca,104,4126
Ford,E350,282,6102
Buick,Park Avenue,278,5713
Chevrolet,Silverado 3500,293,5503
Ford,Flex,102,1387
Ford,Explorer Sport,275,4033
Lexus,RX,272,3386
Chevrolet,Suburban 2500,265,1427
Peugeot,207,222,3533
Lexus,SC,97,6762
Pontiac,Firefly,168,5388
Ford,Crown Victoria,239,6849
Dodge,Ram Van B150,165,2053
Ford,F350,138,4439
Suzuki,Vitara,161,6776
Porsche,944,212,5362
Pontiac,Sunfire,238,2475
Suzuki,Daewoo Lacetti,280,5348
Ford,Escape,298,4461
Maybach,62,190,3088
Dodge,Avenger,259,7397
GMC,Acadia,193,2758
Ford,Mustang,121,4735
Land Rover,Defender,185,5655
Suzuki,Swift,110,2500
Mercedes-Benz,SLK-Class,114,6781
Dodge,Caravan,90,3156
Honda,CR-V,199,1548
Chevrolet,Impala,226,3876
Jeep,Wrangler,204,2609
Geo,Prizm,199,3013
Mitsubishi,Lancer Evolution,116,6947
Mazda,MX-5,291,7712
Dodge,Caravan,239,1167
GMC,Envoy XL,281,2300
Dodge,Dakota,169,4650
Cadillac,CTS-V,194,6689
Chrysler,PT Cruiser,130,6433
Lincoln,Navigator,248,6277
Jaguar,S-Type,232,1251
Subaru,Legacy,287,1813
Audi,100,149,5784
Dodge,Ram Van B250,285,7963
GMC,Yukon XL 1500,269,3458
Lexus,GX,175,5139
Oldsmobile,98,178,6039
Plymouth,Voyager,278,5108
Chevrolet,Blazer,103,5748
GMC,Vandura 3500,284,7685
Aston Martin,Vanquish S,182,5823
Dodge,Ram 1500,179,2250
Lexus,SC,171,7832
Nissan,200SX,257,7503
Daihatsu,Rocky,212,4662
Cadillac,CTS-V,220,5281
Saturn,VUE,229,3354
Suzuki,Equator,188,6455
Dodge,Grand Caravan,122,1784
Lamborghini,Gallardo,171,5737
Volkswagen,Jetta,170,2996
Land Rover,Freelander,200,1532
Ford,Escort,116,1177
Toyota,Camry,155,7361
Audi,100,145,1151
Buick,Park Avenue,195,5222
Nissan,Armada,231,6161
Lincoln,Continental Mark VII,130,3573
BMW,760,276,7142
Volkswagen,Golf,278,7059
Mitsubishi,Endeavor,157,6570
Chevrolet,Cobalt SS,231,6104
Chevrolet,Express 3500,146,7210
Lamborghini,Murciélago LP640,182,6961
Ford,Taurus,210,7915
Toyota,Yaris,274,6886
Chevrolet,Equinox,180,3106
Buick,Rainier,117,7778
Dodge,Durango,262,2766
GMC,Suburban 1500,144,1442
Ford,Escort,132,5594
Hyundai,Veracruz,289,2100
Pontiac,Firebird Trans Am,255,4168
Buick,Riviera,122,3796
Volvo,C30,127,7360
Cadillac,Seville,222,1371
Saturn,VUE,258,4443
Lexus,LS,252,6968
Ford,Taurus,168,3285
Dodge,Charger,177,4610
Ford,Bronco,198,2220
Audi,A8,270,2282
Lincoln,Continental,203,3077
Oldsmobile,88,221,3731
Chevrolet,Cobalt SS,168,2481
Volkswagen,Touareg 2,165,5895
Eagle,Talon,295,7295
Ford,Taurus,258,1590
Isuzu,Ascender,135,2121
Ford,Taurus,297,1497
Toyota,Corolla,166,5192
Honda,Odyssey,167,5878
Toyota,4Runner,200,4695
Nissan,350Z Roadster,267,6414
Mercury,Grand Marquis,147,7835
Suzuki,Swift,269,1735
Pontiac,Vibe,241,3580
Oldsmobile,Silhouette,143,5415
Honda,Passport,131,3680
Chevrolet,Silverado 1500,117,7315
Chevrolet,Tahoe,170,4447
Ford,Windstar,137,5534
Mazda,626,272,6686
Honda,Civic,197,1545
Ford,Mustang,255,1402
Mercedes-Benz,CL-Class,192,3894
Volkswagen,Passat,193,6596
GMC,Yukon,292,1890
